EPOCH                             DENSITY   TEMPERATURE        VR_RTN        VT_RTN        VN_RTN
dd-mm-yyyy hh:mm:ss.mil.mic         cm^-3            eV          km/s          km/s          km/s
06-09-2022 00:14:49.551.705       5.31175       65.0171       420.580       6.06054      -41.3752
06-09-2022 00:14:53.551.712       5.23964       52.8701       445.835      -6.84244      -41.6237
06-09-2022 00:14:57.551.719       4.80238       47.7637       449.922      -12.0428      -48.8079
06-09-2022 00:15:01.551.726       4.29969       44.7355       455.335      -15.8922      -47.8105
06-09-2022 00:15:05.551.733       4.21855       44.9936       445.580      -20.9303      -55.2263
06-09-2022 00:15:09.551.740       3.87507       43.0107       464.707      -22.2108      -50.4701
06-09-2022 00:15:13.551.747       4.61287       46.7080       466.405      -19.8277      -46.8331
06-09-2022 00:15:17.551.754       3.17871       59.4562       464.710      -31.3032      -53.2267
06-09-2022 00:15:21.551.761       5.19357       106.942       442.479     -0.275514       41.0339
06-09-2022 00:15:25.551.768       4.34611       55.1837       471.234       6.12450      -12.3281
06-09-2022 00:15:29.551.775       4.62272       111.562       470.710      -5.54230       32.6969
06-09-2022 00:15:33.551.782       4.20342       66.7878       460.873      -1.77066      -30.2642
06-09-2022 00:15:37.551.789       3.74091       46.4729       491.403      0.456203      -23.3189
06-09-2022 00:15:41.551.796       3.52120       50.5287       481.495      -2.21978      -26.9220
06-09-2022 00:15:45.551.803       3.69992       60.0262       482.683       1.20186      -24.3918
06-09-2022 00:15:49.551.810       3.78796       53.7172       471.433      -4.68990      -27.8663
06-09-2022 00:15:53.551.817       4.55668       102.156       449.313      0.699840       33.8257
06-09-2022 00:15:57.551.823       3.85145       61.2730       469.737      -9.23898      -24.0107
06-09-2022 00:16:01.551.831       3.79411       41.4173       465.363      0.122047      -22.3363
06-09-2022 00:16:05.551.837       4.57541       68.0024       451.432       5.03065      -27.3993
06-09-2022 00:16:09.551.844       3.46068       45.4713       476.145      -9.57651      -21.6490
06-09-2022 00:16:13.551.851       3.73259       55.2223       458.781      -4.28571      -23.9590
06-09-2022 00:16:17.551.858       4.61113       57.5711       446.169       11.1690      -23.0105
06-09-2022 00:16:21.551.865       4.19706       42.6461       450.535      -4.46980      -28.3232
06-09-2022 00:16:25.551.872       4.35956       46.8717       455.541      0.801604      -34.0212
06-09-2022 00:16:29.551.879       4.60462       51.2068       441.461      -1.80050      -24.1090
06-09-2022 00:16:33.551.886       4.11830       53.3578       453.471      -3.87864      -29.2172
06-09-2022 00:16:37.551.893       4.35249       44.3112       452.549      -2.83586      -12.8996
06-09-2022 00:16:41.551.900       5.31573       99.6690       428.410       7.07917       13.3985
06-09-2022 00:16:45.551.907       4.44103       43.2433       440.652       6.73629      -35.4968
06-09-2022 00:16:49.551.914       4.16794       49.7807       450.024      -8.16356      -30.5453
06-09-2022 00:16:53.551.921       5.02944       44.7284       451.803      -3.74671      -19.2365
06-09-2022 00:16:57.551.928       5.23653       48.9612       439.942      -5.06786      -49.6452
06-09-2022 00:17:01.551.935       5.13071       50.7891       444.873       10.5568      -34.1010
06-09-2022 00:17:05.551.942       4.80159       42.1772       441.341       10.6603      -27.4097
06-09-2022 00:17:09.551.949       4.96292       44.8719       444.693       15.4536      -21.3297
06-09-2022 00:17:13.551.956       5.25110       44.9737       451.819       6.69139      -28.1687
06-09-2022 00:17:17.551.963       4.81003       43.5536       438.608      -6.90893      -25.3654
06-09-2022 00:17:21.551.970       4.51995       39.4253       440.133     -0.896829      -25.8696
06-09-2022 00:17:25.551.977       4.51094       44.6185       437.413      -12.3296      -27.5520
06-09-2022 00:17:29.551.984       4.45006       50.7235       453.992      -18.9184      -26.7222
06-09-2022 00:17:33.551.991       4.25497       35.8939       437.669      -15.4044      -37.8021
06-09-2022 00:17:37.551.998       4.86187       56.9863       410.107       10.6661      -41.9880
06-09-2022 00:17:41.552.004       4.42763       40.7845       430.965      -21.1489      -44.5246
06-09-2022 00:17:45.552.012       4.42738       36.4370       426.506      -26.5165      -47.1011
06-09-2022 00:17:49.552.018       4.24698       34.1988       430.232      -18.0891      -31.6657
06-09-2022 00:17:53.552.025       5.14367       51.5839       429.254      -14.2620      -35.1066
06-09-2022 00:17:57.552.032       4.79800       37.6770       437.077      -27.7672      -34.9602
06-09-2022 00:18:01.552.039       4.52990       36.3657       432.685      -25.9344      -34.1928
06-09-2022 00:18:05.552.046       4.80593       40.6025       426.278      -19.1256      -32.0816
06-09-2022 00:18:09.552.053       5.32232       51.5175       430.304      -25.9059      -33.0107
06-09-2022 00:18:13.552.060       4.99461       46.5188       417.382      -18.1388      -30.2826
06-09-2022 00:18:17.552.067       4.66324       36.2594       430.147      -23.5520      -36.9258
06-09-2022 00:18:21.552.074       5.10329       44.5147       419.805      -26.4421      -38.4748
06-09-2022 00:18:25.552.081       6.61044       100.901       367.211      -21.8137       37.0154
06-09-2022 00:18:29.552.088       4.94239       50.3687       429.492      -33.4929      -44.4197
06-09-2022 00:18:33.552.095       4.51034       38.9014       429.454      -26.7901      -32.2015
06-09-2022 00:18:37.552.102       4.73157       35.8346       436.544      -18.1826      -20.1195
06-09-2022 00:18:41.552.109       4.74545       37.1306       442.746      -21.9823      -20.5922
06-09-2022 00:18:45.552.116       4.74034       36.7960       431.888      -29.7984      -26.8686
06-09-2022 00:18:49.552.123       4.77690       33.6368       425.845      -35.5368      -35.6988
06-09-2022 00:18:53.552.130       6.18516       88.9349       379.451      -22.4623       28.3322
06-09-2022 00:18:57.552.137       4.86361       47.8835       425.695      -20.9240      -34.1982
06-09-2022 00:19:01.552.144       4.49816       33.0390       435.588      -20.7040      -20.3310
06-09-2022 00:19:05.552.151       4.79902       36.8340       437.227      -18.3139      -14.4892
06-09-2022 00:19:09.552.158       4.64415       34.8717       433.297      -25.0798      -20.1286
06-09-2022 00:19:13.552.165       4.49863       34.9689       437.148      -24.9005      -19.4135
06-09-2022 00:19:17.552.172       4.98268       38.6627       429.340      -26.1506      -17.2418
06-09-2022 00:19:21.552.179       5.06789       48.7050       420.015      -21.9130      -26.7727
06-09-2022 00:19:25.552.186       4.79824       34.8922       434.943      -29.7472      -22.9162
06-09-2022 00:19:29.552.193       4.79083       34.3784       432.246      -23.3448      -20.4865
06-09-2022 00:19:33.552.199       4.89256       33.0816       432.139      -25.5663      -18.5300
06-09-2022 00:19:37.552.206       4.48221       32.1839       433.920      -27.0183      -26.5536
06-09-2022 00:19:41.552.213       4.83957       35.2309       436.268      -23.0940      -19.1669
06-09-2022 00:19:45.552.220       4.71522       39.8207       431.337      -24.8647      -20.0871
06-09-2022 00:19:49.552.227       4.76406       32.9558       438.388      -25.9994      -15.0559
